char,char,int,double,char,int,int,int,int,int,char,int,float,char,int,char,char,int,char
모델명,제조사,가격,화면크기(inch),운영체제,용량(GB),렘(GB),전면카메라(만 화소),후면카메라(만 화소),무게(g),크기(mm),베터리용량(mAh),속도(Ghz),화면해상도,출시년도,색상,링크,카운트,링크2
Samsung Galaxy A9 Pro,Samsung,530000,6.4,안드로이드 8.1,128,6,2400,3900,173,74.9*158.4*7.4,3400,3.9,2340*1080,2019,오로라 블랙&블랙  실버&앱솔루트블랙  엘프 블루&블루,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A9%20Pro,0,https://www.youtube.com/embed/9dkne6Jr_18
LG G8 ThinQ,LG,778000,6.1,안드로이드 9.0,128,6,800,4000,167,71.8*151.9*8.4,3500,7.03,3120*1440,2019,뉴 오로라 블랙  뉴모로칸 블루  카민 레드,https://namu.wiki/w/LG%20G8%20ThinQ,0,https://www.youtube.com/embed/d7MXnrL-gr8
LG G7+ ThinQ,LG,640000,6.1,안드로이드 9.0,128,6,800,3200,162,71.9*153.2*7.9,3000,4.5,3120*1440,2018,뉴 오로라 블랙  뉴 플래티넘 그레이  뉴 모로칸 블루  라즈베리 로즈,https://namu.wiki/w/LG%20G7%20ThinQ,0,https://www.youtube.com/embed/Uz2ZbQB_lzY
LG G7 ThinQ,LG,610000,6.1,안드로이드 9.0,128,6,800,3200,162,71.9*153.2*7.9,3000,4.5,3120*1440,2018,뉴 오로라 블랙  뉴 플래티넘 그레이  뉴 모로칸 블루  라즈베리 로즈,https://namu.wiki/w/LG%20G7%20ThinQ,0,https://www.youtube.com/embed/Uz2ZbQB_lzY
LG Q9 one,LG,599000,6.1,안드로이드 9.0,64,4,800,1600,156,71.9*153.2*7.9,3000,4.25,3120*1440,2018,뉴 오로라 블랙  뉴 모로칸 블루,https://namu.wiki/w/LG%20Q9%20One,0,https://www.youtube.com/embed/gx4agq-ZiIY
LG Q9,LG,499000,6.1,안드로이드 8.1,64,4,800,1600,159,71.9*153.2*7.9,3000,3.95,3120*1440,2018,뉴 오로라 블랙  뉴 플리터님 그레이,https://namu.wiki/w/LG%20Q9,0,https://www.youtube.com/embed/gx4agq-ZiIY
LG Q8 2018,LG,560000,6.2,안드로이드 8.1,32,3,500,1300,172,77.8*160.2*8.4,3300,1.5,2160*1080,2018,모로칸 블루  오로라 블랙  라벤더 바이올렛,https://namu.wiki/w/LG%20Q8(2018),0,https://www.youtube.com/embed/bxrlpY6MiGA
LG Q7+,LG,510000,5.5,안드로이드 8.1,64,4,500,1600,145,69.3*143.8*8.4,3000,1.8,2160*1080,2018,모로칸 블루  오로라 블랙  라벤더 바이올렛,https://namu.wiki/w/LG%20Q7?from=LG%20Q7%2B,0,https://www.youtube.com/embed/bxrlpY6MiGA
LG Q7,LG,430000,5.5,안드로이드 8.1,32,3,500,1300,145,69.3*143.8*8.4,3000,1.5,2160*1080,2018,모로칸 블루  오로라 블랙  라벤더 바이올렛,https://namu.wiki/w/LG%20Q7?from=LG%20Q7%2B,0,https://www.youtube.com/embed/bxrlpY6MiGA
LG V50,LG,1089000,6.4,안드로이드 9.0,128,6,1300,4000,183,76.1*159.1*8.3,4000,7.06,3120*1440,2019,아스트로 블랙,http://prod.danawa.com/info/?pcode=7321336&keyword=LG%20V50&cate=12315771#bookmark_product_information,0,https://www.youtube.com/embed/2jqYaTrRbdc
LG V40,LG,1010000,6.4,안드로이드 8.1,128,6,1300,4000,169,75.8*158.7*7.7,3300,4.5,3120*1440,2018,뉴 오로라 블랙  뉴 플래티넘 그레이  뉴 모로칸 블루  라즈베리 로즈,https://namu.wiki/w/LG%20V40%20ThinQ,0,https://www.youtube.com/embed/gMjR4fUVBNM?list=PL1w6LtN-Wort1PVEjqVeSUpQ2CfbMV01T
샤오미 홍미 노트7,샤오미,243000,6.3,안드로이드 9.0,64,4,1300,5300,186,75.2*159.2*8.1,4000,4,2340*1080,2019,블랙  블루,http://prod.danawa.com/info/?pcode=7547893&cate=12329135,0,https://www.youtube.com/embed/aJQKnEiEoT0
샤오미 블랙 샤크2,샤오미,697000,6.39,안드로이드 9.0,128,8,2000,6100,205,75*163.6*8.8,4000,7.03,2340*1080,2019,블랙,http://prod.danawa.com/info/?pcode=7824853&cate=12329135,0,https://www.youtube.com/embed/YqScrwSObGc
샤오미 포코폰 F1,샤오미,428600,6.18,안드로이드 8.1,64,6,2000,1700,182,75.2*155.5*8.8,4000,4.6,2246*1080,2018,블루 그레이,http://prod.danawa.com/info/?pcode=6621226&cate=12329135#bookmark_product_information,0,https://www.youtube.com/embed/9i0NLfUxVgc
샤오미 홍미 노트5,샤오미,269000,5.99,안드로이드 8.1,64,4,1300,1700,181,75.4*158.6*8.1,4000,1.8,2160*1080,2018,블랙,http://prod.danawa.com/list/?cate=12329135,0,https://www.youtube.com/embed/mC9c0j86tIE
샤오미 미A1,샤오미,290000,5.5,안드로이드 7.1,64,4,500,2400,165,75.8*155.4*7.3,3080,2,1920*1080,2017,블랙  핑크,http://prod.danawa.com/list/?cate=12329135,0,https://www.youtube.com/embed/j_jqgoTM_i0
